Vin,Rout,Lout,THD (I),THD (V),Efficiency
100,1,0.001,14.2478889081215,64.9420004352525,0.917025981098283
100,1,0.01,5.80485566072492,61.8753762930122,0.700217834350767
100,1,0.1,5.63256257194244,61.7747995640851,0.0731623216518039
100,1,1,5.72449274093567,61.7835713312773,0.0374695438251768
100,10,0.001,42.8857560153223,61.9672731245768,0.989846890274892
100,10,0.01,13.6410181082678,62.0975340405896,0.990202228749327
100,10,0.1,5.80953886331481,61.7906601153087,0.714656694968561
100,10,1,5.63271830876397,61.7825664938816,0.0728883353258763
100,50,0.001,57.2057803410957,61.7938770885151,0.995141293549693
100,50,0.01,33.0266311746786,61.834873950783,0.994680937688103
100,50,0.1,8.85458131548917,61.8227202114544,0.992362474613957
100,50,1,5.67623346999416,61.7830170963463,0.395162177028754
100,100,0.001,59.4316258691464,61.7861590862436,0.993370501938615
100,100,0.01,42.8280002296982,61.8018169571361,0.992608018009361
100,100,0.1,13.5807059477675,61.8148146951147,0.990611690490432
100,100,1,5.80968834733072,61.7842599559898,0.686893448008666
200,1,0.001,13.9603199498816,73.5476493433582,0.918926259683307
200,1,0.01,5.57979330295726,70.0991761731673,0.687693021912719
200,1,0.1,5.41121075952794,69.9606383517255,0.0726406185666281
200,1,1,5.50600115637826,69.9685749507243,0.0347178561246624
200,10,0.001,48.7079027879813,70.1760142541538,0.989842007090307
200,10,0.01,13.3599153043128,70.3241965457393,0.990295113760649
200,10,0.1,5.58330222092403,69.9816449369955,0.700630684073185
200,10,1,5.41208466956236,69.9676523672901,0.0719567649883808
200,50,0.001,65.1796229113917,69.9795635973729,0.994935421568858
200,50,0.01,36.0593908714533,70.0281341210325,0.994263689533975
200,50,0.1,8.5440920064311,70.0164537541001,0.991467564524378
200,50,1,5.45428599651638,69.9682907861696,0.384088016668731
200,100,0.001,67.5271376809217,69.9713558020102,0.992979016246838
200,100,0.01,48.6333146315244,69.9892609365389,0.991967385428148
200,100,0.1,13.3005063071142,70.004036886806,0.989353448619564
200,100,1,5.58350527705316,69.9695154494855,0.66868139996532
300,1,0.001,13.9229898981492,81.1323944237685,0.920587771945246
300,1,0.01,5.43366036374562,77.3612793651745,0.677440657920217
300,1,0.1,5.2661975790966,77.1897632544158,0.0725093701376034
300,1,1,5.34568778464895,77.1975028503724,0.0300624198218275
300,10,0.001,54.1518740696917,77.4225309384467,0.989829780744143
300,10,0.01,13.3143671232429,77.5884777048687,0.990351842973326
300,10,0.1,5.4363171024941,77.2108167650968,0.689032922183373
300,10,1,5.26733259017419,77.1966494498412,0.0711297692330715
300,50,0.001,72.2022289957391,77.2090640954329,0.994730055410167
300,50,0.01,39.1961190215914,77.2636073365927,0.993836667915885
300,50,0.1,8.38231423646686,77.250830810107,0.990519973923251
300,50,1,5.30892459881313,77.1974140099563,0.374683398986599
300,100,0.001,74.6562361885041,77.2004621114175,0.992589098123041
300,100,0.01,54.0648131498435,77.2200026407539,0.991338470194925
300,100,0.1,13.2541571297954,77.2365396300016,0.988019662823633
300,100,1,5.4362595737061,77.1988664227949,0.652628841489459
400,1,0.001,14.0750685366327,87.9871599656427,0.922054163508511
400,1,0.01,5.37453996860644,83.9333185222397,0.668885704115336
400,1,0.1,5.20549309446404,83.7325439053929,0.0731768110597407
400,1,1,5.2661819220067,83.7399973836784,0.0254500487356207
400,10,0.001,59.1243364474836,83.9803718135849,0.989812930997488
400,10,0.01,13.4517817217733,84.1621377496243,0.990377834947591
400,10,0.1,5.37587585838229,83.7567147075996,0.679337604426452
400,10,1,5.20676195061208,83.7391607807395,0.0709492618125077
400,50,0.001,78.5123922592661,83.7521659546999,0.994524132966153
400,50,0.01,42.224750872499,83.8116893793178,0.993397929258665
400,50,0.1,8.35079467541809,83.7981547079034,0.989514481030386
400,50,1,5.24836828871401,83.7401396605415,0.366304478353432
400,100,0.001,81.0771297155856,83.7431358527309,0.992197957156945
400,100,0.01,59.0272745378244,83.7640690766003,0.99070984381551
400,100,0.1,13.3902450803505,83.7821818147236,0.986612208647209
400,100,1,5.37577529277233,83.7415474615736,0.638060641365079
